,weight_shap_total_mean,weight_shap_total_std,weight_grad_total_dir_mean,counts,p_value,fold_change,is_deg,is_extra,is_prior_driver,is_target,is_tf
IL12RB1,3.8208282747352e-05,5.744050730997309e-05,-2.1560274400000003e-05,6,0.0226653860688883,0.8114090515898055,True,False,False,False,False
UBASH3A,4.5664447969473e-05,0.00011466524698298651,-3.7226743e-05,6,0.0101480350714455,0.7135439775356428,True,False,False,False,False
SELENBP1,6.126032863537998e-05,0.0002004028474043776,-2.8956636499999996e-05,6,2.6849628775262773e-08,0.639546581723965,True,False,False,False,False
KIF14,3.1332344351553e-05,4.3517725133241834e-05,1.37766373e-05,5,0.0001949659284385,1.3299476067337233,True,False,False,False,False
AKT1,1.8389466773661e-05,2.1304945090723442e-05,-1.14636242e-05,5,0.0002251486687106,0.9251617497478012,False,True,False,False,False
PTPN7,3.1600339818216e-05,4.429371381866792e-05,-2.5273610500000004e-05,5,0.0008862726537737,0.7977155650672216,True,False,False,False,False
DOK2,2.9425143534643996e-05,0.0001164162402301382,-2.59487704e-05,5,3.682291891255695e-05,0.7691665962282482,True,False,False,False,False
PRAM1,3.8153372791044005e-05,8.980572652105923e-05,-2.9629455e-05,5,4.5436250342647386e-05,0.689342054156937,True,False,False,False,False
ITGAM,3.1403381706044e-05,4.2820017921560286e-05,-2.3320775899999998e-05,5,3.881782599877588e-05,0.8120633531559164,True,False,False,False,False
CORO1A,3.2797848252939e-05,0.0001243025461326242,-3.640662399999999e-06,5,1.1769653826387664e-05,0.8230396701284044,True,False,False,False,False
CKAP2L,3.2809683308759995e-05,6.468869953348087e-05,2.2715968999999996e-05,5,1.315552889028586e-05,1.3929903484419188,True,False,False,False,False
DDAH1,3.5696390198615e-05,7.986071759218188e-05,-3.0177678e-06,5,7.774952636209425e-07,0.7023995178459798,True,False,False,False,False
CD19,3.2586961656511004e-05,0.00011435024697062792,1.31380509e-05,5,0.0482502413564855,0.7458470006650515,True,False,False,False,False
